产品分类,产品名称,被抽样企业名称,通报单位,抽检结果,通报时间,通报文号,规格,商标,生产企业名称,生产企业地址,被抽样企业名称,被抽样企业地址,通报单位,生产省份,通报时间,不合格原因,检测结果,标准/法规限值,措施,判定结果,备注,伙伴网链接,抽检层级,网站
粮食及其制品-->大米,原生态稻花香,绥化市绥宴米业有限公司,黑龙江市场监管局,合格,2015-02-04,,10kg/袋,五常,绥化市绥宴米业有限公司,,绥化市绥宴米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475778
粮食及其制品-->大米,大米,鸡东县长枝米业有限公司,黑龙江市场监管局,合格,2015-02-04,,10kg/袋,北国长芸香,鸡东县长枝米业有限公司,,鸡东县长枝米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475763
粮食及其制品-->大米,大米,鸡东县平阳镇永龙米厂,黑龙江市场监管局,合格,2015-02-04,,10kg/袋,八楞山,鸡东县平阳镇永龙米厂,,鸡东县平阳镇永龙米厂,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475764
粮食及其制品-->大米,大米,鸡东县宇明米业有限公司,黑龙江市场监管局,合格,2015-02-04,,25kg/袋,宇明,鸡东县宇明米业有限公司,,鸡东县宇明米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475765
粮食及其制品-->大米,（大米）长粒香,鸡东县万兴米业有限公司,黑龙江市场监管局,合格,2015-02-04,,10kg/袋,长庆,鸡东县万兴米业有限公司,,鸡东县万兴米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475766
粮食及其制品-->大米,大米,鸡东县万兴米业有限公司,黑龙江市场监管局,合格,2015-02-04,,25kg/袋,长庆,鸡东县万兴米业有限公司,,鸡东县万兴米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475767
粮食及其制品-->大米,大米,鸡东县泉水米业有限公司,黑龙江市场监管局,合格,2015-02-04,,10kg/袋,泉水,鸡东县泉水米业有限公司,,鸡东县泉水米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475768
粮食及其制品-->大米,大米,鸡东县泉水米业有限公司,黑龙江市场监管局,合格,2015-02-04,,25kg/袋,泉水,鸡东县泉水米业有限公司,,鸡东县泉水米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475769
粮食及其制品-->大米,大米,鸡东县老郭精制米业有限责任公司,黑龙江市场监管局,合格,2015-02-04,,10kg/袋,郭利,鸡东县老郭精制米业有限责任公司,,鸡东县老郭精制米业有限责任公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475770
粮食及其制品-->大米,大米,鸡东县老郭精制米业有限责任公司,黑龙江市场监管局,合格,2015-02-04,,25kg/袋,郭利,鸡东县老郭精制米业有限责任公司,,鸡东县老郭精制米业有限责任公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475771
粮食及其制品-->大米,明德大米,鸡东县兴明水稻专业合作社,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,东北明德乡,鸡东县兴明水稻专业合作社,,鸡东县兴明水稻专业合作社,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475772
粮食及其制品-->大米,五常大米,大商集团七台河新玛特购物广场有限公司,黑龙江市场监管局,合格,2015-02-04,,1kg/盒,葵花阳光,五常葵花阳光米业有限公司,,大商集团七台河新玛特购物广场有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475773
粮食及其制品-->大米,五常大米(精香系列100)葵花阳光,大商集团七台河新玛特购物广场有限公司,黑龙江市场监管局,合格,2015-02-04,,2.5kg/袋,葵花阳光,五常葵花阳光米业有限公司,,大商集团七台河新玛特购物广场有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475774
粮食及其制品-->大米,五常长粒香国宴米,绥化市绥宴米业有限公司,黑龙江市场监管局,合格,2015-02-04,,10kg/袋,五常,绥化市绥宴米业有限公司,,绥化市绥宴米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475779
粮食及其制品-->大米,国宴稻花香,绥化市绥宴米业有限公司,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,绥宴牌,绥化市绥宴米业有限公司,,绥化市绥宴米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475780
粮食及其制品-->大米,永超长粒香,黑龙江省麟源米业有限公司,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,永超,黑龙江省麟源米业有限公司,,黑龙江省麟源米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475781
粮食及其制品-->大米,宏盛（稻花香）,绥化宏盛米业有限公司,黑龙江市场监管局,合格,2015-02-04,,10kg/袋,宏盛,绥化宏盛米业有限公司,,绥化宏盛米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475782
粮食及其制品-->大米,大米,宁安市渤海沿江石米业有限公司,黑龙江市场监管局,合格,2015-02-04,,10kg/袋,沿江石,宁安市渤海沿江石米业有限公司,,宁安市渤海沿江石米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475743
粮食及其制品-->大米,石板大米,黑龙江省宁安市渤海镇顺响粮米加工厂,黑龙江市场监管局,合格,2015-02-04,,25kg/袋,顺响,黑龙江省宁安市渤海镇顺响粮米加工厂,,黑龙江省宁安市渤海镇顺响粮米加工厂,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475744
粮食及其制品-->大米,石板大米,宁安市贡响米业有限公司,黑龙江市场监管局,合格,2015-02-04,,1lg/盒,贡响,宁安市贡响米业有限公司,,宁安市贡响米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475745
粮食及其制品-->大米,大米,宁安市贡响米业有限公司,黑龙江市场监管局,合格,2015-02-04,,2.5kg/盒,贡响,宁安市贡响米业有限公司,,宁安市贡响米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475746
粮食及其制品-->大米,贡响石板米,宁安市贡响米业有限公司,黑龙江市场监管局,合格,2015-02-04,,1.25kg/桶,贡响,宁安市贡响米业有限公司,,宁安市贡响米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475747
粮食及其制品-->大米,粒多金长粒香,佳木斯市佳佳福米业有限责任公司,黑龙江市场监管局,合格,2015-02-04,,10kg/袋,粒多金,佳木斯市佳佳福米业有限责任公司,,佳木斯市佳佳福米业有限责任公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475748
粮食及其制品-->大米,长粒香,佳木斯市佳佳福米业有限责任公司,黑龙江市场监管局,合格,2015-02-04,,10kg/袋,粒多金,佳木斯市佳佳福,,佳木斯市佳佳福米业有限责任公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475749
粮食及其制品-->大米,长粒米,佳木斯市小六水稻加工厂,黑龙江市场监管局,合格,2015-02-04,,25kg/袋,红伟,佳木斯市小六水稻加工厂,,佳木斯市小六水稻加工厂,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475750
粮食及其制品-->大米,金稻香大米,桦川县金稻香米业有限公司,黑龙江市场监管局,合格,2015-02-04,,5kg/盒,金稻香,桦川县金稻香米业有限公司,,桦川县金稻香米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475751
粮食及其制品-->大米,金稻香大米,桦川县金稻香米业有限公司,黑龙江市场监管局,合格,2015-02-04,,8kg/盒,金稻香,桦川县金稻香米业有限公司,,桦川县金稻香米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475752
粮食及其制品-->大米,东北老粗米,桦川县金稻香米业有限公司,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,东北星火乡,桦川县金稻香米业有限公司,,桦川县金稻香米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475753
粮食及其制品-->大米,胚芽米,桦川县金稻香米业有限公司,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,东北星火乡,桦川县金稻香米业有限公司,,桦川县金稻香米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475754
粮食及其制品-->大米,金粳米,桦川县金稻香米业有限公司,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,东北星火乡,桦川县金稻香米业有限公司,,桦川县金稻香米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475755
粮食及其制品-->大米,东北星火乡米,桦川县金稻香米业有限公司,黑龙江市场监管局,合格,2015-02-04,,6kg/盒,东北星火乡,桦川县金稻香米业有限公司,,桦川县金稻香米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475756
粮食及其制品-->大米,东北星火乡米,桦川县金稻香米业有限公司,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,东北星火乡,桦川县金稻香米业有限公司,,桦川县金稻香米业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475757
粮食及其制品-->大米,东北珍珠米,大庆大润发商业有限公司,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,东北星火乡,佳木斯市星火米业有限公司,,大庆大润发商业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475758
粮食及其制品-->大米,星火乡大米,青岛润泰事业有限公司齐齐哈尔龙沙分公司,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,东北星火乡,佳木斯市星火米业有限公司,,青岛润泰事业有限公司齐齐哈尔龙沙分公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475723
粮食及其制品-->大米,赋香稻,青岛润泰事业有限公司齐齐哈尔龙沙分公司,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,福临门,中粮米业（五常）有限公司,,青岛润泰事业有限公司齐齐哈尔龙沙分公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475724
粮食及其制品-->大米,金粳稻,青岛润泰事业有限公司齐齐哈尔龙沙分公司,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,福临门,中粮米业（五常）有限公司,,青岛润泰事业有限公司齐齐哈尔龙沙分公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475725
粮食及其制品-->大米,原香稻,青岛润泰事业有限公司齐齐哈尔龙沙分公司,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,金龙鱼,益海嘉里（哈尔滨）粮油食品工业有限公司,,青岛润泰事业有限公司齐齐哈尔龙沙分公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475726
粮食及其制品-->大米,长粒香米,青岛润泰事业有限公司齐齐哈尔龙沙分公司,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,金元宝,益海嘉里（哈尔滨）粮油食品工业有限公司,,青岛润泰事业有限公司齐齐哈尔龙沙分公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475727
粮食及其制品-->大米,利是圆粒清香米,哈尔滨市家乐福超市有限公司牡丹江太平路店,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,利是,辽宁华润五华营销有限公司,,哈尔滨市家乐福超市有限公司牡丹江太平路店,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475728
粮食及其制品-->大米,五丰蟹田米,哈尔滨市家乐福超市有限公司牡丹江太平路店,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,五丰,辽宁华润五华营销有限公司,,哈尔滨市家乐福超市有限公司牡丹江太平路店,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475729
粮食及其制品-->大米,（大米）精选泰香米,哈尔滨市家乐福超市有限公司牡丹江太平路店,黑龙江市场监管局,合格,2015-02-04,,2.5kg/袋,金象牌,汕头经济特区金源米业有限公司,,哈尔滨市家乐福超市有限公司牡丹江太平路店,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475730
粮食及其制品-->大米,（方正大米）大米,哈尔滨市家乐福超市有限公司牡丹江太平路店,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,秋然,哈尔滨方正秋然米业有限责任公司,,哈尔滨市家乐福超市有限公司牡丹江太平路店,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475731
粮食及其制品-->大米,五丰稻花香米,哈尔滨市家乐福超市有限公司牡丹江太平路店,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,五丰,华润五丰营销深圳有限公司,,哈尔滨市家乐福超市有限公司牡丹江太平路店,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475732
粮食及其制品-->大米,响水大米,黑龙江响水米业股份有限公司,黑龙江市场监管局,合格,2015-02-04,,1kg/袋,响水,黑龙江响水米业股份有限公司,,黑龙江响水米业股份有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475733
粮食及其制品-->大米,响水大米,黑龙江响水米业股份有限公司,黑龙江市场监管局,合格,2015-02-04,,2.5kg/袋,响水,黑龙江响水米业股份有限公司,,黑龙江响水米业股份有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475734
粮食及其制品-->大米,响水米响水香,黑龙江响水米业股份有限公司,黑龙江市场监管局,合格,2015-02-04,,5kg/袋,响水,黑龙江响水米业股份有限公司,,黑龙江响水米业股份有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475735
粮食及其制品-->大米,响水米百姓装,黑龙江响水米业股份有限公司,黑龙江市场监管局,合格,2015-02-04,,10kg/袋,响水,黑龙江响水米业股份有限公司,,黑龙江响水米业股份有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475736
粮食及其制品-->大米,脱粳米,黑龙江响水米业股份有限公司,黑龙江市场监管局,合格,2015-02-04,,10kg/袋,关东兄弟,黑龙江响水米业股份有限公司,,黑龙江响水米业股份有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475737
粮食及其制品-->大米,响水贡米,黑龙江响水米业股份有限公司,黑龙江市场监管局,合格,2015-02-04,,1.25kg/袋,响水,黑龙江响水米业股份有限公司,,黑龙江响水米业股份有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475738
粮食及其制品-->大米,方正大米,方正县德宝粮油贸易有限公司,黑龙江市场监管局,合格,2015-02-04,,10kg/袋,农家香,方正县德宝粮油贸易有限公司,,方正县德宝粮油贸易有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475703
粮食及其制品-->大米,富硒御贡长粒香,方正县德宝粮油贸易有限公司,黑龙江市场监管局,合格,2015-02-04,,10kg/袋,农家香,方正县德宝粮油贸易有限公司,,方正县德宝粮油贸易有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475704
粮食及其制品-->大米,家中生态米,方正家中米业有限责任公司,黑龙江市场监管局,合格,2015-02-04,,10kg/袋,方宇,方正家中米业有限责任公司,,方正家中米业有限责任公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475705
粮食及其制品-->大米,长粒香米,方正家中米业有限责任公司,黑龙江市场监管局,合格,2015-02-04,,10kg/袋,方宇,方正家中米业有限责任公司,,方正家中米业有限责任公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475706
粮食及其制品-->大米,稻花香,方正家中米业有限责任公司,黑龙江市场监管局,合格,2015-02-04,,10kg/袋,方宇,方正家中米业有限责任公司,,方正家中米业有限责任公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475707
